Sentiment,words_tk_relevant_joined,predicted_cluster
The Da Vinci Code book is just awesome.,vinci code book awesome.,329
"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this.","first clive cussler ever read, even books like relic, vinci code plausible this.",103
i liked the Da Vinci Code a lot.,liked vinci code lot.,221
i liked the Da Vinci Code a lot.,liked vinci code lot.,221
I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.,liked vinci code ultimatly seem hold own.,374
"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.","even exaggeration midnight went wal-mart buy vinci code, amazing course.",271
"I loved the Da Vinci Code, but now I want something better and different!..","loved vinci code, want something better different!..",296
"i thought da vinci code was great, same with kite runner.","thought vinci code great, kite runner.",376
The Da Vinci Code is actually a good movie...,vinci code actually good movie...,119
I thought the Da Vinci Code was a pretty good book.,thought vinci code pretty good book.,376
The Da Vinci Code is one of the most beautiful movies ive ever seen.,vinci code one beautiful movies ive ever seen.,99
"The Da Vinci Code is an * amazing * book, do not get me wrong.","vinci code amazing book, get wrong.",349
then I turn on the light and the radio and enjoy my Da Vinci Code.,turn light radio enjoy vinci code.,210
The Da Vinci Code was REALLY good.,vinci code really good.,87
i love da vinci code....,love vinci code....,27
i loved da vinci code..,loved vinci code..,295
TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...,night:: vinci code beautiful mind...,358
THE DA VINCI CODE is AN AWESOME BOOK....,vinci code awesome book....,146
"Thing is, I enjoyed The Da Vinci Code.","thing is, enjoyed vinci code.",276
very da vinci code slash amazing race.,vinci code slash amazing race.,234
Hey I loved The Da Vinci Code!..,hey loved vinci code!..,98
also loved the da vinci code..,also loved vinci code..,302
I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.,really enjoyed vinci code thought disappointed books 8230;.,390
I do like Angels and Demons more then The Da Vinci Code.,like angels demons vinci code.,276
The Da Vinci Code was a really good movie.,vinci code really good movie.,119
